anomaly_type,count,percentage
pir_false_motion,7632,14.9979
adxl_spike,7428,14.597
pir_suppressed,7263,14.2728
0,7028,13.811
dht_fail,6486,12.7459
cpu_stress,4175,8.2045
net_jitter,3554,6.9841
mq_gas_spike,3531,6.9389
OFF,993,1.9514
"{""enabled"":false,""domain"":""none"",""type"":""none"",""source"":""none""}",695,1.3658
dht_read_fail,341,0.6701
net_delay,280,0.5502
ON,245,0.4815
dht_cooldown,209,0.4107
mq_drift,159,0.3125
dht_heat_spike,148,0.2908
mq_spike,82,0.1611
mem_stress,81,0.1592
"{""enabled"":true,""domain"":""sensor"",""source"":""pi7"",""type"":""mq_drift"",""duration_s"":180,""drift_per_s"":0.02}",80,0.1572
pir_stuck_on,47,0.0924
adxl_missing,46,0.0904
packet_loss,40,0.0786
sensor_read_failure,31,0.0609
"{""enabled"":true,""domain"":""sensor"",""source"":""pi7"",""type"":""mq_flatline"",""duration_s"":60}",27,0.0531
"{""enabled"":true,""domain"":""sensor"",""source"":""pi7"",""type"":""mq_noise"",""duration_s"":60,""noise_amp"":0.3}",27,0.0531
pir_busy,27,0.0531
mq_flatline,27,0.0531
pir_stuck_off,26,0.0511
mq_noise,26,0.0511
dht_humidity_spike,26,0.0511
net_jitter;dht_fail,25,0.0491
dht_dropout,20,0.0393
pir_chatter,20,0.0393
mq_gas_spike;dht_fail,13,0.0255
"{""enabled"":true,""domain"":""sensor"",""source"":""pi7"",""type"":""mq_spike"",""duration_s"":20,""mult"":4}",12,0.0236
i2c_instability;adxl_missing,7,0.0138
device_i2c_instability,7,0.0138
service_restart,7,0.0138
cpu_stress;dht_fail,5,0.0098
adxl_spike;dht_read_fail,4,0.0079
dht_cooldown;dht_fail,4,0.0079
adxl_spike;dht_fail,2,0.0039
dht_heat_spike;dht_fail,1,0.002
