"Pi","File","Rows","SizeKB","LastWriteTime","SHA256"
"pi4","2025-12-09.csv","2911","187.68","2/5/2026 12:35:19 AM","AA37AF3959BDD7BDCF9CFC748311D56F02C2B8E72FCAAA6536208F32699F48E0"
"pi4","2025-12-10.csv","19505","1257.32","2/5/2026 12:35:30 AM","E40B40399A637E46A48CD3AD84F530B7C6E61222576BD0D2047FBB043D6B1589"
"pi4","2025-12-11.csv","6932","447.11","2/5/2026 12:35:35 AM","A5C8DAA73A1EB14B8BF5B1AB30C09F90CA059186AEEDD4129ED7540AB03F1EF5"
"pi4","2025-12-12.csv","19019","1226.05","2/5/2026 12:35:46 AM","6184AC11159D4F3FD8E3516E54FAF482CA2E9136CBBA3882A165B6D16D0AEA5A"
"pi4","2025-12-13.csv","520","33.65","2/5/2026 12:35:46 AM","797ACC941BA2E401272594C4984E436A4E9696B30A2770D35679CF518A100BF8"
"pi4","2025-12-14.csv","9820","633.02","2/5/2026 12:35:52 AM","8284D6EF8D40113C7DDEC09D3BB9D6C4E66C4B9C5BD30CDC8AA2BD69C58A7766"
"pi4","2025-12-15.csv","25774","1661.63","2/5/2026 12:36:08 AM","CBBA32BD05934FC813E62EE9ED6EB5DFB6229FA79F61B3F48ACB677E6BFA4881"
"pi4","2025-12-16.csv","36466","2350.44","2/5/2026 12:36:30 AM","2B9E6317F9D37EE76460E015D64C47F21006BF946A514048C2969E51F1CCA5C7"
"pi4","2025-12-17.csv","38315","2469.58","2/5/2026 12:36:54 AM","A1576070E7D6CA36A0105A788F715F574ECF11E8E6251EB207F424F5E6D61CFA"
"pi4","2025-12-18.csv","38315","2469.57","2/5/2026 12:37:17 AM","13E426C1BDFF379FF811F7B29490BE77C63FAFE5A5B6F888CBAA2DDCC4E85023"
"pi4","2025-12-19.csv","38313","2469.44","2/5/2026 12:37:40 AM","AC8227D81CDAF74E40445DA58DEC0F0C236DC40603842221BE8796AFBF7409C7"
"pi4","2025-12-20.csv","38315","2469.54","2/5/2026 12:38:03 AM","09BC3C1A27CC5B6AB9B33E1B069912108EB68D5DA6930CE7AD636728AC2C1ACD"
"pi4","2025-12-21.csv","38314","2469.47","2/5/2026 12:38:26 AM","A4319124492F59ED2C320ABA3EC40CDF07CACAC1B424CF54934983572C988B61"
"pi4","2025-12-22.csv","38315","2469.53","2/5/2026 12:38:49 AM","63BA4115E8E9FDDD5930CBA53D52D025CB5BC127F58B3BE9A898094233FD51EB"
"pi4","2025-12-23.csv","38314","2469.5","2/5/2026 12:39:13 AM","3F83D361A99FCE9BD64FB623DA07A147167E5063F6233B87E23E491BB942E6D2"
"pi4","2025-12-24.csv","38313","2469.46","2/5/2026 12:39:37 AM","AC6DB80838E775802F33F2247B7CF5A0EE1D43A87080AE4085619CF7049F855E"
"pi4","2025-12-25.csv","38315","2469.56","2/5/2026 12:40:01 AM","EF8B6AECD12E55B65BA79FFA25DFBE96B167A1A47E94AA424E6B749E26AC438A"
"pi4","2025-12-26.csv","38316","2469.64","2/5/2026 12:40:24 AM","AA07DC9D34C05E1E23B0EADEB5E72D592907CDA1B01CC4106BF42B616E115311"
"pi4","2025-12-27.csv","38315","2469.54","2/5/2026 12:40:48 AM","BDFD05F7E72F20E33D91D3094FBE608CE4E7DD6DBDEA816FA723560078255E0F"
"pi4","2025-12-28.csv","38315","2469.55","2/5/2026 12:41:13 AM","F08350652422A76EE7A4D53396263BE2C9B6A413ADB42F5C1D49B1717D44E90A"
"pi4","2025-12-29.csv","38314","2469.49","2/5/2026 12:41:38 AM","8FFC7F91801BC15274525A90E39CFAE00CCCFAC7E643F790B3AD9E39D1EB35FF"
"pi4","2025-12-30.csv","38314","2469.5","2/5/2026 12:42:03 AM","98DF8D1674CA00C8453C1BC912F71B8A301E2FF42CF905A42668A6A09DEC164E"
"pi4","2025-12-31.csv","38308","2469.11","2/5/2026 12:42:28 AM","ADF3B381B3F41D5DF1035E5320A08D49F6C85DE37CDE92F3D0DFAB8C00213146"
"pi4","2026-01-01.csv","38024","2450.81","2/5/2026 12:42:53 AM","DF646D87073AA72F1F2E90795223D69305BBB30000013C55E2BC8DDDA6CEBE8B"
"pi4","2026-01-02.csv","38316","2469.62","2/5/2026 12:43:18 AM","43FBC4D4175EE29346A6B3EE6D3F6027A80FC83AB30CDEE4F51A310BC143F69D"
"pi4","2026-01-03.csv","38315","2469.58","2/5/2026 12:43:43 AM","27EE0FC14619F613D60D549DE72FB15C191763730CB73305ED35026E974F5351"
